s	cc	g	d	igcell	fee	db	pmt
0	16	2	8	602	19	1	4
0	16	3	0	603	19	2	13
0	16	3	1	604	19	2	15
0	16	3	2	605	19	2	16
0	16	3	3	606	19	1	9
0	16	3	4	607	19	1	10
0	16	3	5	608	19	1	12
0	16	3	6	609	19	1	13
0	16	3	7	610	19	1	15
0	16	3	8	611	19	1	16
0	17	0	0	612	14	3	8
0	17	0	1	613	14	3	7
0	17	0	2	614	14	3	5
0	17	0	3	615	14	3	4
0	17	0	4	616	14	3	2
0	17	0	5	617	14	3	1
0	17	0	6	618	14	2	8
0	17	0	7	619	14	2	7
0	17	0	8	620	14	2	5
0	17	1	0	621	14	3	12
0	17	1	1	622	14	3	10
0	17	1	2	623	14	3	9
0	17	1	3	624	14	3	16
0	17	1	4	625	14	3	15
0	17	1	5	626	14	3	13
0	17	1	6	627	14	2	12
0	17	1	7	628	14	2	10
0	17	1	8	629	14	2	9
0	17	2	0	630	14	2	1
0	17	2	1	631	14	2	2
0	17	2	2	632	14	2	4
0	17	2	3	633	14	1	5
0	17	2	4	634	14	1	7
0	17	2	5	635	14	1	8
0	17	2	6	636	14	1	1
0	17	2	7	637	14	1	2
0	17	2	8	638	14	1	4
0	17	3	0	639	14	2	13
0	17	3	1	640	14	2	15
0	17	3	2	641	14	2	16
0	17	3	3	642	14	1	9
0	17	3	4	643	14	1	10
0	17	3	5	644	14	1	12
0	17	3	6	645	14	1	13
0	17	3	7	646	14	1	15
0	17	3	8	647	14	1	16
0	18	0	0	648	9	3	8
0	18	0	1	649	9	3	7
0	18	0	2	650	9	3	5
0	18	0	3	651	9	3	4
0	18	0	4	652	9	3	2
0	18	0	5	653	9	3	1
0	18	0	6	654	9	2	8
0	18	0	7	655	9	2	7
0	18	0	8	656	9	2	5
0	18	1	0	657	9	3	12
0	18	1	1	658	9	3	10
0	18	1	2	659	9	3	9
0	18	1	3	660	9	3	16
0	18	1	4	661	9	3	15
0	18	1	5	662	9	3	13
0	18	1	6	663	9	2	12
0	18	1	7	664	9	2	10
0	18	1	8	665	9	2	9
0	18	2	0	666	9	2	1
0	18	2	1	667	9	2	2
0	18	2	2	668	9	2	4
0	18	2	3	669	9	1	5
0	18	2	4	670	9	1	7
0	18	2	5	671	9	1	8
0	18	2	6	672	9	1	1
0	18	2	7	673	9	1	2
0	18	2	8	674	9	1	4
0	18	3	0	675	9	2	13
0	18	3	1	676	9	2	15
0	18	3	2	677	9	2	16
0	18	3	3	678	9	1	9
0	18	3	4	679	9	1	10
0	18	3	5	680	9	1	12
0	18	3	6	681	9	1	13
0	18	3	7	682	9	1	15
0	18	3	8	683	9	1	16
0	19	0	0	684	4	3	8
0	19	0	1	685	4	3	7
0	19	0	2	686	4	3	5
0	19	0	3	687	4	3	4
0	19	0	4	688	4	3	2
0	19	0	5	689	4	3	1
0	19	0	6	690	4	2	8
